Blood sugar
X-ray, chest
Chest xray
CXR
X-ray chest
Hemoglobin
HGB
HB
Hb
Malarial smear
BS for MPS
MP test
MP
MPS
Papanicolaou smear
Pap smear
Urine pregnancy test
Stool microscopy
Urine microscopy
X-ray, abdomen
Abdominal x-ray
Abdominal xray
KUB
X-ray abdomen
HIV antibody
HVS test
Vdrl
Syphilis test
Blood typing
Blood group
HB
UA
Stool exam
Stool microscopy
Stool test
Brucella test
Widal test
Sputum for acid fast bacilli
AFB smear sputum
Sputum for AFB
Ziehl nielsen stain
ZN stain
AFB smear sputum
X-ray, other
Xray other
Other xray
Other imaging
X-ray chest
X-ray abdomen
X-ray, arm
Arm x-ray
Arm xray
X-ray arm
Xray arm
X-ray arm
X-ray, leg
Leg x-ray
Leg xray
X-ray leg
Xray leg
X-ray leg
X-ray, hand
Hand x-ray
Hand xray
X-ray hand
Xray hand
X-ray hand
X-ray, foot
Foot x-ray
Foot xray
X-ray foot
Xray foot
X-ray foot
X-ray, skull
Skull xray
X-ray head
X-ray skull
Xray skull
X-ray skull
X-ray head
X-ray spine
X-ray, spine
Spine x-ray
Spine xray
X-ray spine
Xray spine
X-ray pelvis
X-ray, pelvis
Pelvis x-ray
Pelvis xray
X-ray pelvis
Xray pelvis
X-ray shoulder
X-ray, shoulder
Shoulder x-ray
Shoulder xray
X-ray shoulder
Xray shoulder
X-ray other
Other x-ray
X-ray other
TT1
TT2
Biceps reflex
Patellar reflex
Knee jerk
Ankle reflex
Achilles reflex
Ankle jerk
Rhomberg
CXR
Elisa
HGB
WBC
ALC
PLTS
Serum glutamic-oxaloacetic transaminase
SGOT
Aspartate aminotransferase
AST
Serum glutamic-pyruvic transaminase
SGPT
Alanine aminotransferase
ALT
Total bilirubin
TBILI
BILI
Bilirubin
TBILI
WBCS
White blood cells
WBC
Leukocyte count
PUS cells
White cells
Red blood cells
RBC
RB cells
RBCs
White cells
RB cells
RBCS
Total protein
Platelets
Blood platelet
PLTS
Thrombocyte
Plts
Cd4%
CD4 percent
Alkaline phosphatase
ALP
ALK PHOS
ALP
Serum creatinine
Cr
CR
Creatinine
HIV DNA polymerase chain reaction
HIV DNA PCR
DNA PCR
HIV DNA PCR
HIV PCR
Ultrasound, abdomen
Abdominal ultrasound
Head, CT
Head CT

BS for MPS
Serum albumin
Urinary albumin
ALP
Mean corpuscular volume
MCV
MCV
Ultrasound, hepatic
Heaptic ultrasound
CD8 count
CD8
CD8
CD4/CD8
Erythrocyte sedimentation rate
ESR
HIV viral load
Viral load
Blood urea nitrogen
UREA
Blood urea
BUN
ZN stain
Ziehl nielsen stain
ZN stain
Papanicolaou smear
Pap smear
Pap test
Cervical smear
Bacille camile-guerin vaccination
BCG
